Prefixo,Nome,TipoPosto,Data,Valor,Valor2
351870108A,Guarujá (Jardim da Esperança),2,2025/09/30,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/29,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/28,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/27,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/26,8.290200000000002,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/25,5.540946791776963,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/24,0.6000000000000001,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/23,0.79268,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/22,37.6204720179911,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/21,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/20,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/19,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/18,3.9448487906913674,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/17,0.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/16,2.9531634441850767,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/14,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/13,0.78902,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/12,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/11,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/10,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/09,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/08,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/07,11.15608,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/06,11.686540000000003,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/05,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/04,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/03,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/02,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/09/01,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/31,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/30,2.58536,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/29,1.5999999999999999,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/28,0.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/27,28.36315057775523,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/26,4.179183706418284,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/25,2.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/24,1.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/23,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/22,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/21,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/20,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/19,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/18,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/17,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/16,1.7817000000000003,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/15,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/14,1.049,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/13,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/12,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/11,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/10,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/09,7.5231400000000015,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/08,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/07,2.9573467167107848,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/06,179.1412795304545,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/05,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/04,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/03,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/02,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/08/01,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/31,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/30,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/29,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/28,0.6000000000000001,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/27,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/26,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/25,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/24,0.8,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/23,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/22,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/21,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/20,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/19,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/18,0,null
